descript,cTimeStamp,userId,postId
Desideraret quia quod dolore caret id in hominum,2016-01-10 03:29:28,8,296
Sunt sic inprobitas si cuius in mente consedit,1992-01-03 01:17:16,8,84
Qui se plane Graecum dici velit ut a Scaevola est praetore salutatus,2021-12-24 12:44:20,5,323
Et adhaesiones atomorum inter se ex quo efficeretur mundus omnesque,1995-03-21 02:55:03,10,79
Ut succumbere doloribus eosque humili animo inbecilloque ferre miserum est,1994-05-17 11:44:40,6,195
Omnes atomi declinabunt nullae umquam cohaerescent sive aliae declinabunt aliae suo nutu recte ferentur,1994-11-18 08:02:46,14,562
In oculis quidem exercitus -- Quid ex eo perciperet corpore,1999-04-07 06:25:06,8,121
Et firmitatem animi nec mortem nec dolorem timentis quod mors sensu,2012-05-03 01:38:31,14,20
Inimicus paene nomini Romano est qui Ennii Medeam aut Antiopam Pacuvii,2016-12-20 01:37:36,8,286
Contumeliae tum iracundiae contentiones concertationesque in disputando pertinaces indignae,2013-08-08 05:46:56,8,520
Nihil sane -- 'At si voluptas esset bonum desideraret,1994-09-09 01:45:30,6,30
Ei responsum cum C Triarius in,2017-01-08 07:33:10,9,97
Iucunde Neque enim civitas in seditione beata esse,2010-04-27 01:27:30,14,459
Tu quidem oderis ut fere faciunt qui ab eo dissentiunt sed certe,1997-09-21 08:28:58,15,236
Vel eum iure reprehenderit qui in una virtute,1991-07-13 05:18:17,13,341
Malum dolorem idque instituit docere sic Omne animal simul atque,2011-02-02 10:33:22,6,330
Flagitem Re mihi non aeque satisfacit et quidem locis pluribus,1993-11-23 07:08:14,6,610
Philosophia defensa et collaudata est cum esset accusata,2008-12-25 10:37:34,10,446
Enim cupiditates a natura proficiscuntur facile explentur sine ulla iniuria quae autem,1999-12-05 08:48:42,5,490
Sine metu degendae praesidia firmissima -- Filium morte multavit -- Si sine causa nollem,2000-01-12 05:42:25,8,359
Exultat oratio reperire exitum potest nisi derigatur ad voluptatem voluptas autem est,1999-05-08 04:45:21,14,611
Ille quidem utrumque Phaedrum autem etiam,2017-01-03 11:54:48,12,139
Ut cognoscerem quoniam mihi ea facultas ut id apte,2011-12-22 04:23:25,14,495
Provincias atomis dare quae recte quae oblique ferantur deinde eadem illa,2015-11-22 05:00:34,12,488
Epicuri sententiae satis notae sunt Atque eos quos nominavi cum Attico nostro frequenter,2004-10-15 01:39:40,7,592
Earum explicatis et ut dixi ad lineam,1992-08-23 10:28:18,14,611
Apud se dicere iuberet reque ex utraque parte audita pronuntiaret eum non talem,2007-05-23 11:37:56,5,388
Sequatur si illa mala sint laetitia si bona O praeclaram beate vivendi et,2016-01-23 11:35:38,14,2
A natura ipsa iudicari Ea quid percipit aut quid,2020-11-25 05:53:26,7,361
Delectamur cum scribimus quis est tam invidus,1993-04-03 11:01:56,12,490
Corpore voluptatem aut cum Latinis tertio consulatu conflixisse,1994-03-22 12:19:07,8,231
Ipsius artis sed bonae valetudinis causa probamus et gubernatoris ars,2022-12-03 08:08:58,11,185
Iucundo motu voluptatis Sin autem summa voluptas,2002-12-15 08:29:34,5,243
Malint modo legant illa ipsa ne simulent et,1995-11-06 09:57:41,6,160
Autem usus progrediens familiaritatem effecerit tum amorem efflorescere tantum ut,2004-05-22 04:05:36,11,34
Non inopem ut vulgo putarent sed locupletiorem etiam esse quam vacare omni dolore,2018-04-13 08:19:25,12,558
Loqueretur intellegere quid diceret Aliena dixit in physicis nec ea,2000-05-24 11:46:17,12,183
Sunt qua ante quam nati et ad eos,1997-01-19 02:41:39,9,212
Utrumque Phaedrum autem etiam amatoriis levitatibus dediti,1991-05-11 11:26:04,11,432
Divina illa ingenia transferrem Sed id,2020-03-03 08:41:05,14,89
Et pariter dolemus angoribus Quocirca eodem modo sapiens erit,2013-05-14 08:32:04,14,19
Servire qui vel utrisque litteris uti velint vel si suas habent,2017-07-05 09:43:42,14,566
Ratione et via procedat oratio Quaerimus igitur quid sit extremum et ultimum bonorum,2008-04-20 06:54:05,10,566
Et ortum esse e corpore et ad corpus referri,2012-06-04 10:26:57,9,437
Ponatur sed sine hoc institutionem omnino,2005-04-25 09:43:12,8,225
Ne simulent et iis servire qui vel,2021-07-19 05:59:03,15,148
Laetamur iis quae recordamur Stulti autem malorum memoria,2018-06-16 10:00:21,5,111
Videtur expediunt Ut enim ad minim veniam quis nostrud exercitation ullamco,2002-07-18 09:32:08,14,455
Quae plerisque notissima est Quam a nobis sic intelleges eitam ut,1999-09-20 02:01:42,6,219
Desideret Tum vero si stabilem scientiam rerum tenebimus servata illa,2003-02-16 05:15:32,15,165
Numen horreat nec praeteritas voluptates effluere patiatur earumque assidua recordatione laetetur,2006-06-04 05:13:54,14,16
Hominum ac primorum signiferumque maluisti dici Graece ergo praetor Athenis id,2006-09-20 12:45:18,12,481
Non placuit Epicuro medium esse quiddam inter dolorem,2022-01-13 12:31:09,13,473
Nec medium nec ultimum nec extremum sit ita ferri ut,2012-03-17 10:07:42,11,583
Rerum facilis est et ad usus civium non inutile nosque,2017-09-14 12:48:35,11,531
Principio sed ex aeterno tempore intellegi convenire Epicurus autem in quibus,2013-10-12 11:20:07,8,447
Nisi nescio quam illam umbram quod appellant honestum non,2018-04-24 12:43:32,14,547
Faciam interdictum puto Locos quidem quosdam si videbitur transferam et maxime ab iis quos modo,1994-03-17 01:55:00,11,539
Doloribus torqueantur sapientia est adhibenda quae et splendide dicta,1992-05-01 08:55:40,11,50
Albucius hinc inimicus Sed iure Mucius Ego autem mirari satis non,2020-02-25 10:32:14,11,362
Libris quaeritur qui sit finis quid,1998-12-07 08:47:33,9,112
Plurimum afferat Nam diligi et carum esse iucundum,1996-07-01 12:01:36,7,139
Tantum enim esse censet quantus videtur,2006-11-04 11:52:04,6,134
Malum est vivere cum dolore,1995-06-07 05:59:42,7,458
De finibus bonorum et malorum fere a,2014-07-24 06:37:15,10,410
Nihil afferrent quo iucundius id est voluptatem et dolorem,1993-05-08 04:12:51,6,287
Morbis impediri necesse est Animi autem morbi sunt cupiditates,1995-05-15 07:05:42,5,298
Voluptatibus nullo dolore nec impediente nec inpendente quem tandem,2016-06-11 04:57:30,7,504
Ferrentur et ut dixi ad lineam numquam fore ut,2007-05-08 09:51:53,8,410
Iudicium retinent ne voluptate victi faciant id quod propositum,1994-09-26 09:14:57,12,182
Et urbane Stoicos irridente statua est in eo quod,2019-09-06 03:53:01,12,491
Non inviti legant Quis enim tam,2007-05-24 09:31:52,13,2
Contra metum religionis et sedatio animi omnium rerum occultarum ignoratione sublata et moderatio,2018-01-19 07:39:53,5,498
Quidem video esse a nostris de amicitia dicenda sunt Praeclare,1992-01-02 07:46:33,6,151
Beatus Multoque hoc melius nos veriusque quam Stoici,2012-01-15 07:45:36,10,472
Est nihil desiderare manum cum ita esset affecta secundum non recte si,2022-07-20 05:22:27,13,324
Meis civibus si ad eorum cognitionem divina illa ingenia,1999-02-05 03:59:47,12,261
Vindicet et ipsius fortunae modice ferre doceat iniurias,1990-05-18 12:02:21,11,474
Sunt illius scripta leviora ut urbanitas summa appareat doctrina mediocris Ego,2020-08-18 11:38:30,5,452
Epicuri sententia de voluptate a meque ei responsum,2017-10-08 09:49:54,11,518
Etiam oportet in eo quod semel admissum coerceri reprimique,2003-08-13 07:41:19,14,385
Iis servire qui vel utrisque litteris uti velint vel,2002-11-03 09:20:30,9,37
Se indicaverunt Quodsi qui satis sibi contra hominum conscientiam,2022-12-03 12:55:38,6,40
Nec quid eventurum sit provident ob eamque causam propter voluptatem,2012-05-03 09:50:01,5,85
Quem ad modum sit affectus eum necesse,1993-02-17 04:17:21,15,192
Cum eas voluptates quae ad amicos pertinerent negarent,2008-08-25 12:51:20,11,606
Desideraret quia quod dolore caret id in hominum,2018-09-07 01:39:07,9,161
Sunt sic inprobitas si cuius in mente consedit,2003-10-03 12:56:09,8,140
Qui se plane Graecum dici velit ut a Scaevola est praetore salutatus,2012-04-13 04:07:49,9,381
Et adhaesiones atomorum inter se ex quo efficeretur mundus omnesque,2004-01-05 04:35:19,15,310
Ut succumbere doloribus eosque humili animo inbecilloque ferre miserum est,2001-02-06 06:25:12,10,100
Omnes atomi declinabunt nullae umquam cohaerescent sive aliae declinabunt aliae suo nutu recte ferentur,2005-01-24 06:54:17,10,63
In oculis quidem exercitus -- Quid ex eo perciperet corpore,2004-02-02 02:25:36,11,306
Et firmitatem animi nec mortem nec dolorem timentis quod mors sensu,1999-10-14 08:14:50,6,545
Inimicus paene nomini Romano est qui Ennii Medeam aut Antiopam Pacuvii,2001-03-25 01:06:15,12,134
Contumeliae tum iracundiae contentiones concertationesque in disputando pertinaces indignae,2001-09-23 04:02:40,13,611
Nihil sane -- 'At si voluptas esset bonum desideraret,1990-02-06 01:09:48,15,289
Ei responsum cum C Triarius in,1994-08-11 04:43:42,13,585
Iucunde Neque enim civitas in seditione beata esse,2013-11-27 04:59:15,8,468
Tu quidem oderis ut fere faciunt qui ab eo dissentiunt sed certe,2020-07-27 01:54:23,6,450
Vel eum iure reprehenderit qui in una virtute,1995-04-19 11:50:51,13,31
Malum dolorem idque instituit docere sic Omne animal simul atque,2019-03-10 06:08:21,8,75
Flagitem Re mihi non aeque satisfacit et quidem locis pluribus,2007-03-16 12:04:01,9,323
Philosophia defensa et collaudata est cum esset accusata,1997-02-11 03:45:15,11,338
Enim cupiditates a natura proficiscuntur facile explentur sine ulla iniuria quae autem,1990-08-11 07:14:52,6,88
Sine metu degendae praesidia firmissima -- Filium morte multavit -- Si sine causa nollem,2014-03-10 01:02:11,7,243
Exultat oratio reperire exitum potest nisi derigatur ad voluptatem voluptas autem est,1999-01-12 06:34:42,10,303
Ille quidem utrumque Phaedrum autem etiam,2004-09-09 01:28:24,8,612
Ut cognoscerem quoniam mihi ea facultas ut id apte,1997-11-23 07:31:10,8,170
Provincias atomis dare quae recte quae oblique ferantur deinde eadem illa,2002-01-15 10:20:49,6,378
Epicuri sententiae satis notae sunt Atque eos quos nominavi cum Attico nostro frequenter,2008-11-16 06:39:04,9,49
Earum explicatis et ut dixi ad lineam,2023-10-11 02:42:51,8,24
Apud se dicere iuberet reque ex utraque parte audita pronuntiaret eum non talem,2017-04-09 01:46:10,11,468
Sequatur si illa mala sint laetitia si bona O praeclaram beate vivendi et,1994-09-04 07:00:38,8,171
A natura ipsa iudicari Ea quid percipit aut quid,1993-08-02 03:48:33,15,64
Delectamur cum scribimus quis est tam invidus,1995-08-16 08:16:54,9,563
Corpore voluptatem aut cum Latinis tertio consulatu conflixisse,2010-02-19 12:21:31,11,169
Ipsius artis sed bonae valetudinis causa probamus et gubernatoris ars,2021-06-14 05:38:56,15,531
Iucundo motu voluptatis Sin autem summa voluptas,2011-07-14 07:08:42,12,524
Malint modo legant illa ipsa ne simulent et,2002-12-17 06:14:50,11,428
Autem usus progrediens familiaritatem effecerit tum amorem efflorescere tantum ut,2005-07-25 07:02:13,15,30
Non inopem ut vulgo putarent sed locupletiorem etiam esse quam vacare omni dolore,1995-03-11 04:26:29,12,61
Loqueretur intellegere quid diceret Aliena dixit in physicis nec ea,1993-10-18 03:10:48,13,61
Sunt qua ante quam nati et ad eos,1994-03-05 10:45:41,15,45
Utrumque Phaedrum autem etiam amatoriis levitatibus dediti,2012-08-06 12:53:36,15,397
Divina illa ingenia transferrem Sed id,2008-06-14 07:45:43,6,601
Et pariter dolemus angoribus Quocirca eodem modo sapiens erit,1999-07-09 05:17:39,14,60
Servire qui vel utrisque litteris uti velint vel si suas habent,1995-02-01 09:07:17,9,520
Ratione et via procedat oratio Quaerimus igitur quid sit extremum et ultimum bonorum,1994-08-03 09:24:27,13,453
Et ortum esse e corpore et ad corpus referri,2017-05-27 02:22:47,6,495
Ponatur sed sine hoc institutionem omnino,2012-06-15 03:31:39,8,73
Ne simulent et iis servire qui vel,1999-05-20 12:45:50,13,152
Laetamur iis quae recordamur Stulti autem malorum memoria,1993-07-06 12:29:35,5,335
Videtur expediunt Ut enim ad minim veniam quis nostrud exercitation ullamco,2014-01-13 09:23:47,13,356
Quae plerisque notissima est Quam a nobis sic intelleges eitam ut,2019-07-03 06:28:55,9,532
Desideret Tum vero si stabilem scientiam rerum tenebimus servata illa,1999-03-17 11:14:21,15,321
Numen horreat nec praeteritas voluptates effluere patiatur earumque assidua recordatione laetetur,1992-07-13 10:27:30,12,13
Hominum ac primorum signiferumque maluisti dici Graece ergo praetor Athenis id,2019-01-22 11:09:46,6,540
Non placuit Epicuro medium esse quiddam inter dolorem,2017-01-16 02:08:14,14,485
Nec medium nec ultimum nec extremum sit ita ferri ut,2014-01-24 06:02:21,12,453
Rerum facilis est et ad usus civium non inutile nosque,2010-06-27 10:33:14,13,289
Principio sed ex aeterno tempore intellegi convenire Epicurus autem in quibus,2014-11-20 12:46:57,12,456
Nisi nescio quam illam umbram quod appellant honestum non,2011-06-13 09:30:45,10,528
Faciam interdictum puto Locos quidem quosdam si videbitur transferam et maxime ab iis quos modo,2018-09-09 08:16:29,11,335
Doloribus torqueantur sapientia est adhibenda quae et splendide dicta,1993-07-22 06:43:33,9,550
Albucius hinc inimicus Sed iure Mucius Ego autem mirari satis non,2005-08-24 11:33:46,11,296
Libris quaeritur qui sit finis quid,2022-03-18 11:23:09,9,9
Plurimum afferat Nam diligi et carum esse iucundum,1991-02-25 06:17:50,6,506
Tantum enim esse censet quantus videtur,2012-12-13 12:04:31,6,179
Malum est vivere cum dolore,2020-11-08 07:46:19,12,265
De finibus bonorum et malorum fere a,1992-05-20 01:56:42,9,101
Nihil afferrent quo iucundius id est voluptatem et dolorem,1992-07-26 12:10:28,11,388
Morbis impediri necesse est Animi autem morbi sunt cupiditates,2002-08-23 04:31:15,10,445
Voluptatibus nullo dolore nec impediente nec inpendente quem tandem,2005-04-07 02:53:14,12,490
Ferrentur et ut dixi ad lineam numquam fore ut,2022-04-27 09:43:29,12,155
Iudicium retinent ne voluptate victi faciant id quod propositum,2012-12-04 01:22:13,10,266
Et urbane Stoicos irridente statua est in eo quod,1997-10-03 11:20:03,12,284
Non inviti legant Quis enim tam,2023-07-18 04:53:36,7,34
Contra metum religionis et sedatio animi omnium rerum occultarum ignoratione sublata et moderatio,1997-07-26 06:37:20,5,202
Quidem video esse a nostris de amicitia dicenda sunt Praeclare,2007-05-09 04:00:51,13,401
Beatus Multoque hoc melius nos veriusque quam Stoici,2010-08-15 01:38:12,11,46
Est nihil desiderare manum cum ita esset affecta secundum non recte si,2023-11-08 11:37:31,9,417
Meis civibus si ad eorum cognitionem divina illa ingenia,2022-04-07 05:10:11,11,599
Vindicet et ipsius fortunae modice ferre doceat iniurias,1997-02-02 05:49:32,6,171
Sunt illius scripta leviora ut urbanitas summa appareat doctrina mediocris Ego,2009-04-12 07:19:58,15,270
Epicuri sententia de voluptate a meque ei responsum,1995-05-16 05:21:23,15,83
Etiam oportet in eo quod semel admissum coerceri reprimique,2012-02-15 08:43:24,10,304
Iis servire qui vel utrisque litteris uti velint vel,2023-02-03 05:47:01,5,92
Se indicaverunt Quodsi qui satis sibi contra hominum conscientiam,2005-05-19 11:59:22,14,493
Nec quid eventurum sit provident ob eamque causam propter voluptatem,1998-09-09 08:38:27,11,9
Quem ad modum sit affectus eum necesse,1991-02-02 08:15:06,11,531
Cum eas voluptates quae ad amicos pertinerent negarent,1999-10-07 08:06:44,7,232
Desideraret quia quod dolore caret id in hominum,2015-11-12 12:13:56,9,389
Sunt sic inprobitas si cuius in mente consedit,1991-04-03 01:24:05,13,91
Qui se plane Graecum dici velit ut a Scaevola est praetore salutatus,2019-02-22 09:22:33,15,212
Et adhaesiones atomorum inter se ex quo efficeretur mundus omnesque,2010-07-27 10:01:35,10,513
Ut succumbere doloribus eosque humili animo inbecilloque ferre miserum est,2018-08-25 05:12:48,6,123
Omnes atomi declinabunt nullae umquam cohaerescent sive aliae declinabunt aliae suo nutu recte ferentur,1998-08-27 07:25:58,13,130
In oculis quidem exercitus -- Quid ex eo perciperet corpore,1992-09-15 11:21:16,9,593
Et firmitatem animi nec mortem nec dolorem timentis quod mors sensu,2021-02-05 01:29:03,15,123
Inimicus paene nomini Romano est qui Ennii Medeam aut Antiopam Pacuvii,2003-12-13 11:18:48,6,352
Contumeliae tum iracundiae contentiones concertationesque in disputando pertinaces indignae,2010-08-04 03:02:44,13,507
Nihil sane -- 'At si voluptas esset bonum desideraret,2016-05-16 01:11:21,9,336
Ei responsum cum C Triarius in,2008-04-23 06:52:31,6,523
Iucunde Neque enim civitas in seditione beata esse,2015-03-26 03:20:33,7,42
Tu quidem oderis ut fere faciunt qui ab eo dissentiunt sed certe,2021-03-20 04:21:35,12,393
Vel eum iure reprehenderit qui in una virtute,1991-12-10 12:02:15,11,521
Malum dolorem idque instituit docere sic Omne animal simul atque,2003-04-10 02:48:29,7,225
Flagitem Re mihi non aeque satisfacit et quidem locis pluribus,2003-04-13 09:32:59,10,246
Philosophia defensa et collaudata est cum esset accusata,2001-08-16 06:50:23,13,176
Enim cupiditates a natura proficiscuntur facile explentur sine ulla iniuria quae autem,2018-02-08 08:39:10,5,158
Sine metu degendae praesidia firmissima -- Filium morte multavit -- Si sine causa nollem,1994-03-03 02:42:45,13,40
Exultat oratio reperire exitum potest nisi derigatur ad voluptatem voluptas autem est,2002-02-04 05:12:42,14,254
Ille quidem utrumque Phaedrum autem etiam,2003-03-08 01:41:48,11,57
Ut cognoscerem quoniam mihi ea facultas ut id apte,1999-03-23 04:57:47,7,199
Provincias atomis dare quae recte quae oblique ferantur deinde eadem illa,2003-04-18 02:10:55,10,469
Epicuri sententiae satis notae sunt Atque eos quos nominavi cum Attico nostro frequenter,2000-02-27 04:01:36,8,328
Earum explicatis et ut dixi ad lineam,1995-10-19 01:38:00,14,511
Apud se dicere iuberet reque ex utraque parte audita pronuntiaret eum non talem,1994-04-25 09:00:00,7,213
Sequatur si illa mala sint laetitia si bona O praeclaram beate vivendi et,2004-07-17 01:31:04,6,73
A natura ipsa iudicari Ea quid percipit aut quid,2023-08-27 09:46:00,6,54
Delectamur cum scribimus quis est tam invidus,2007-06-03 01:11:41,9,338
Corpore voluptatem aut cum Latinis tertio consulatu conflixisse,1993-10-13 04:51:11,15,185
Ipsius artis sed bonae valetudinis causa probamus et gubernatoris ars,2020-07-26 05:10:27,12,459
Iucundo motu voluptatis Sin autem summa voluptas,2018-10-06 03:30:41,12,525
Malint modo legant illa ipsa ne simulent et,2011-10-18 09:54:16,13,219
Autem usus progrediens familiaritatem effecerit tum amorem efflorescere tantum ut,1992-08-18 10:40:53,12,431
Non inopem ut vulgo putarent sed locupletiorem etiam esse quam vacare omni dolore,2001-11-05 06:08:07,6,219
Loqueretur intellegere quid diceret Aliena dixit in physicis nec ea,1998-04-26 07:27:03,13,132
Sunt qua ante quam nati et ad eos,2019-01-19 06:11:02,14,275
Utrumque Phaedrum autem etiam amatoriis levitatibus dediti,2011-12-13 10:04:35,12,118
Divina illa ingenia transferrem Sed id,1991-08-08 02:57:37,11,523
Et pariter dolemus angoribus Quocirca eodem modo sapiens erit,2017-11-02 02:52:07,13,581
Servire qui vel utrisque litteris uti velint vel si suas habent,2013-01-24 03:07:21,12,482
Ratione et via procedat oratio Quaerimus igitur quid sit extremum et ultimum bonorum,1994-01-01 03:27:14,9,19
Et ortum esse e corpore et ad corpus referri,2023-10-20 01:00:40,12,135
Ponatur sed sine hoc institutionem omnino,2012-09-26 02:22:45,6,557
Ne simulent et iis servire qui vel,2015-10-04 04:03:39,14,102
Laetamur iis quae recordamur Stulti autem malorum memoria,2011-08-06 05:38:22,12,435
Videtur expediunt Ut enim ad minim veniam quis nostrud exercitation ullamco,2005-03-21 12:29:36,9,86
Quae plerisque notissima est Quam a nobis sic intelleges eitam ut,1994-01-24 03:56:32,7,31
Desideret Tum vero si stabilem scientiam rerum tenebimus servata illa,2021-04-11 12:59:46,13,478
Numen horreat nec praeteritas voluptates effluere patiatur earumque assidua recordatione laetetur,1999-08-15 06:29:07,13,457
Hominum ac primorum signiferumque maluisti dici Graece ergo praetor Athenis id,1994-07-10 01:18:16,8,282
Non placuit Epicuro medium esse quiddam inter dolorem,2006-02-02 08:18:15,6,564
Nec medium nec ultimum nec extremum sit ita ferri ut,2017-04-15 07:20:46,12,298
Rerum facilis est et ad usus civium non inutile nosque,2002-02-14 03:50:21,7,132
Principio sed ex aeterno tempore intellegi convenire Epicurus autem in quibus,2020-02-23 08:12:58,7,480
Nisi nescio quam illam umbram quod appellant honestum non,2001-11-09 02:06:12,11,105
Faciam interdictum puto Locos quidem quosdam si videbitur transferam et maxime ab iis quos modo,2010-01-12 08:55:50,12,89
Doloribus torqueantur sapientia est adhibenda quae et splendide dicta,2004-08-19 07:22:33,12,28
Albucius hinc inimicus Sed iure Mucius Ego autem mirari satis non,2014-02-18 02:40:54,15,412
Libris quaeritur qui sit finis quid,1997-08-26 04:07:16,13,251
Plurimum afferat Nam diligi et carum esse iucundum,1990-12-20 07:49:29,12,253
Tantum enim esse censet quantus videtur,2011-11-08 05:09:23,12,298
Malum est vivere cum dolore,2004-02-02 10:27:57,5,449
De finibus bonorum et malorum fere a,2014-12-21 05:29:16,6,261
Nihil afferrent quo iucundius id est voluptatem et dolorem,2013-05-17 03:07:54,6,55
Morbis impediri necesse est Animi autem morbi sunt cupiditates,1998-12-06 10:40:13,14,30
Voluptatibus nullo dolore nec impediente nec inpendente quem tandem,2018-12-22 02:47:14,11,171
Ferrentur et ut dixi ad lineam numquam fore ut,2018-04-11 06:18:16,14,500
Iudicium retinent ne voluptate victi faciant id quod propositum,1998-01-04 10:32:16,8,434
Et urbane Stoicos irridente statua est in eo quod,2008-10-09 07:45:45,7,197
Non inviti legant Quis enim tam,2005-06-11 02:01:15,7,182
Contra metum religionis et sedatio animi omnium rerum occultarum ignoratione sublata et moderatio,1999-12-13 04:37:18,9,21
Quidem video esse a nostris de amicitia dicenda sunt Praeclare,1996-07-24 02:05:44,13,115
Beatus Multoque hoc melius nos veriusque quam Stoici,2007-07-27 03:32:28,9,603
Est nihil desiderare manum cum ita esset affecta secundum non recte si,1998-06-18 06:19:48,8,328
Meis civibus si ad eorum cognitionem divina illa ingenia,2002-04-02 05:04:26,6,117
Vindicet et ipsius fortunae modice ferre doceat iniurias,1991-12-24 09:24:28,7,403
Sunt illius scripta leviora ut urbanitas summa appareat doctrina mediocris Ego,2012-10-02 05:03:05,5,397
Epicuri sententia de voluptate a meque ei responsum,1996-03-13 10:50:21,7,212
Etiam oportet in eo quod semel admissum coerceri reprimique,2017-05-07 10:14:42,10,28
Iis servire qui vel utrisque litteris uti velint vel,2011-11-20 10:21:41,13,106
Se indicaverunt Quodsi qui satis sibi contra hominum conscientiam,1999-08-03 06:33:13,10,73
Nec quid eventurum sit provident ob eamque causam propter voluptatem,2023-10-16 09:37:12,14,474
Quem ad modum sit affectus eum necesse,1995-08-22 11:02:57,7,137
Cum eas voluptates quae ad amicos pertinerent negarent,2005-01-26 10:18:37,13,17
Desideraret quia quod dolore caret id in hominum,2015-11-08 02:28:16,14,344
Sunt sic inprobitas si cuius in mente consedit,1999-10-26 04:16:05,14,464
Qui se plane Graecum dici velit ut a Scaevola est praetore salutatus,2023-07-06 09:39:36,6,466
Et adhaesiones atomorum inter se ex quo efficeretur mundus omnesque,2019-06-27 11:50:37,10,598
Ut succumbere doloribus eosque humili animo inbecilloque ferre miserum est,2007-02-13 11:29:30,6,438
Omnes atomi declinabunt nullae umquam cohaerescent sive aliae declinabunt aliae suo nutu recte ferentur,1998-07-19 06:34:24,14,151
In oculis quidem exercitus -- Quid ex eo perciperet corpore,2008-09-11 08:31:50,5,116
Et firmitatem animi nec mortem nec dolorem timentis quod mors sensu,1997-11-18 06:36:36,14,338
Inimicus paene nomini Romano est qui Ennii Medeam aut Antiopam Pacuvii,2003-02-07 05:45:53,12,37
Contumeliae tum iracundiae contentiones concertationesque in disputando pertinaces indignae,2015-05-08 03:17:43,10,126
Nihil sane -- 'At si voluptas esset bonum desideraret,1996-04-14 02:04:38,13,35
Ei responsum cum C Triarius in,1999-10-12 01:55:26,15,610
Iucunde Neque enim civitas in seditione beata esse,1999-07-26 09:00:11,6,592
Tu quidem oderis ut fere faciunt qui ab eo dissentiunt sed certe,2016-09-15 02:02:48,8,18
Vel eum iure reprehenderit qui in una virtute,2023-10-26 07:57:34,14,511
Malum dolorem idque instituit docere sic Omne animal simul atque,1991-06-14 04:47:47,14,480
Flagitem Re mihi non aeque satisfacit et quidem locis pluribus,1990-06-22 06:04:44,14,536
Philosophia defensa et collaudata est cum esset accusata,2007-08-19 12:16:12,14,236
Enim cupiditates a natura proficiscuntur facile explentur sine ulla iniuria quae autem,2009-02-09 08:40:35,13,225
Sine metu degendae praesidia firmissima -- Filium morte multavit -- Si sine causa nollem,1990-03-20 07:46:44,14,387
Exultat oratio reperire exitum potest nisi derigatur ad voluptatem voluptas autem est,2018-11-12 07:29:18,8,557
Ille quidem utrumque Phaedrum autem etiam,2003-03-24 01:53:57,7,102
Ut cognoscerem quoniam mihi ea facultas ut id apte,2006-12-12 10:10:52,10,493
Provincias atomis dare quae recte quae oblique ferantur deinde eadem illa,2017-06-13 12:55:35,7,252
Epicuri sententiae satis notae sunt Atque eos quos nominavi cum Attico nostro frequenter,2009-02-25 09:48:58,14,317
Earum explicatis et ut dixi ad lineam,2005-04-19 07:12:49,9,344
Apud se dicere iuberet reque ex utraque parte audita pronuntiaret eum non talem,1998-06-08 08:30:56,13,253
Sequatur si illa mala sint laetitia si bona O praeclaram beate vivendi et,2019-08-23 01:38:43,6,331
A natura ipsa iudicari Ea quid percipit aut quid,2021-04-05 11:12:26,14,225
Delectamur cum scribimus quis est tam invidus,1993-11-23 04:02:33,9,241
Corpore voluptatem aut cum Latinis tertio consulatu conflixisse,1991-07-25 12:14:36,12,405
Ipsius artis sed bonae valetudinis causa probamus et gubernatoris ars,2014-02-26 08:45:53,15,288
Iucundo motu voluptatis Sin autem summa voluptas,1993-06-23 01:07:56,5,187
Malint modo legant illa ipsa ne simulent et,2002-05-21 02:18:10,15,336
Autem usus progrediens familiaritatem effecerit tum amorem efflorescere tantum ut,2021-01-19 11:56:59,10,265
Non inopem ut vulgo putarent sed locupletiorem etiam esse quam vacare omni dolore,2017-12-27 07:17:42,13,450
Loqueretur intellegere quid diceret Aliena dixit in physicis nec ea,1992-04-04 03:19:06,14,567
Sunt qua ante quam nati et ad eos,2010-02-19 11:36:42,7,461
Utrumque Phaedrum autem etiam amatoriis levitatibus dediti,2021-02-16 12:57:25,11,310
Divina illa ingenia transferrem Sed id,1997-10-17 08:42:46,14,23
Et pariter dolemus angoribus Quocirca eodem modo sapiens erit,1997-10-08 02:28:32,7,597
Servire qui vel utrisque litteris uti velint vel si suas habent,1991-08-01 12:33:35,8,364
Ratione et via procedat oratio Quaerimus igitur quid sit extremum et ultimum bonorum,1992-12-10 12:19:47,6,315
Et ortum esse e corpore et ad corpus referri,1998-01-25 05:41:46,7,467
Ponatur sed sine hoc institutionem omnino,2005-02-07 05:31:25,13,391
Ne simulent et iis servire qui vel,2003-08-26 01:23:08,14,539
Laetamur iis quae recordamur Stulti autem malorum memoria,2022-05-08 08:35:13,13,356
Videtur expediunt Ut enim ad minim veniam quis nostrud exercitation ullamco,2010-07-17 03:27:15,10,225
Quae plerisque notissima est Quam a nobis sic intelleges eitam ut,2017-11-26 08:03:59,10,146
Desideret Tum vero si stabilem scientiam rerum tenebimus servata illa,1994-10-27 01:06:41,8,210
Numen horreat nec praeteritas voluptates effluere patiatur earumque assidua recordatione laetetur,1995-03-06 09:21:04,9,550
Hominum ac primorum signiferumque maluisti dici Graece ergo praetor Athenis id,2010-04-24 05:16:54,14,562
Non placuit Epicuro medium esse quiddam inter dolorem,1990-05-03 04:33:34,11,76
